Charger Latitude,Charger Longitude,Hour,Demand Count Near Origin,Demand Count Near Destination,Total Demand Count,lat_lon,id
22.3078513,114.1664406,8,4110,3898,8008,"(22.3078513, 114.1664406)",5
22.3078513,114.1664406,9,3784,6389,10173,"(22.3078513, 114.1664406)",5
22.3078513,114.1664406,10,2977,3182,6159,"(22.3078513, 114.1664406)",5
22.3078513,114.1664406,11,2427,2815,5242,"(22.3078513, 114.1664406)",5
22.3078513,114.1664406,12,4559,2988,7547,"(22.3078513, 114.1664406)",5
22.3078513,114.1664406,13,3145,4280,7425,"(22.3078513, 114.1664406)",5
22.3078513,114.1664406,14,1307,2724,4031,"(22.3078513, 114.1664406)",5
22.3078513,114.1664406,15,2368,4437,6805,"(22.3078513, 114.1664406)",5
22.3078513,114.1664406,16,3411,3028,6439,"(22.3078513, 114.1664406)",5
22.3078513,114.1664406,17,3701,3575,7276,"(22.3078513, 114.1664406)",5
22.3078513,114.1664406,18,3290,4200,7490,"(22.3078513, 114.1664406)",5
22.3078513,114.1664406,19,4058,4791,8849,"(22.3078513, 114.1664406)",5
22.3078513,114.1664406,20,2713,2334,5047,"(22.3078513, 114.1664406)",5
22.3078513,114.1664406,21,3974,2115,6089,"(22.3078513, 114.1664406)",5
22.3078513,114.1664406,22,2281,1446,3727,"(22.3078513, 114.1664406)",5
22.3078513,114.1664406,23,3406,1444,4850,"(22.3078513, 114.1664406)",5
22.3273724,114.1630476,0,1750,795,2545,"(22.3273724, 114.1630476)",6
22.3273724,114.1630476,1,1186,575,1761,"(22.3273724, 114.1630476)",6
22.3273724,114.1630476,2,877,609,1486,"(22.3273724, 114.1630476)",6
22.3273724,114.1630476,3,416,225,641,"(22.3273724, 114.1630476)",6
22.3273724,114.1630476,4,201,404,605,"(22.3273724, 114.1630476)",6
22.3273724,114.1630476,5,60,200,260,"(22.3273724, 114.1630476)",6
22.3273724,114.1630476,6,832,631,1463,"(22.3273724, 114.1630476)",6
22.3273724,114.1630476,7,4420,4122,8542,"(22.3273724, 114.1630476)",6
22.3273724,114.1630476,8,4141,4795,8936,"(22.3273724, 114.1630476)",6
22.3273724,114.1630476,9,3972,5304,9276,"(22.3273724, 114.1630476)",6
22.3273724,114.1630476,10,3733,2298,6031,"(22.3273724, 114.1630476)",6
22.3273724,114.1630476,11,2666,2757,5423,"(22.3273724, 114.1630476)",6
22.3273724,114.1630476,12,4353,4554,8907,"(22.3273724, 114.1630476)",6
22.3273724,114.1630476,13,5030,3888,8918,"(22.3273724, 114.1630476)",6
22.3273724,114.1630476,14,2617,3834,6451,"(22.3273724, 114.1630476)",6
22.3273724,114.1630476,15,4510,5018,9528,"(22.3273724, 114.1630476)",6
22.3273724,114.1630476,16,3973,2783,6756,"(22.3273724, 114.1630476)",6
22.3273724,114.1630476,17,2161,3472,5633,"(22.3273724, 114.1630476)",6
22.3273724,114.1630476,18,1977,4154,6131,"(22.3273724, 114.1630476)",6
22.3273724,114.1630476,19,2802,4747,7549,"(22.3273724, 114.1630476)",6
22.3273724,114.1630476,20,2370,1014,3384,"(22.3273724, 114.1630476)",6
22.3273724,114.1630476,21,1847,2292,4139,"(22.3273724, 114.1630476)",6
22.3273724,114.1630476,22,2197,2123,4320,"(22.3273724, 114.1630476)",6
22.3273724,114.1630476,23,1806,2141,3947,"(22.3273724, 114.1630476)",6
22.3378021,114.1581547,0,818,496,1314,"(22.3378021, 114.1581547)",7
22.3378021,114.1581547,1,561,491,1052,"(22.3378021, 114.1581547)",7
22.3378021,114.1581547,2,518,201,719,"(22.3378021, 114.1581547)",7
22.3378021,114.1581547,3,304,225,529,"(22.3378021, 114.1581547)",7
22.3378021,114.1581547,4,201,19,220,"(22.3378021, 114.1581547)",7
22.3378021,114.1581547,5,206,74,280,"(22.3378021, 114.1581547)",7
22.3378021,114.1581547,6,216,149,365,"(22.3378021, 114.1581547)",7
22.3378021,114.1581547,7,2177,1284,3461,"(22.3378021, 114.1581547)",7
22.3378021,114.1581547,8,2452,1982,4434,"(22.3378021, 114.1581547)",7
22.3378021,114.1581547,9,3237,1557,4794,"(22.3378021, 114.1581547)",7
22.3378021,114.1581547,10,715,336,1051,"(22.3378021, 114.1581547)",7
22.3378021,114.1581547,11,369,997,1366,"(22.3378021, 114.1581547)",7
22.3378021,114.1581547,12,1634,1641,3275,"(22.3378021, 114.1581547)",7
22.3378021,114.1581547,13,2692,2500,5192,"(22.3378021, 114.1581547)",7
22.3378021,114.1581547,14,1833,1851,3684,"(22.3378021, 114.1581547)",7
22.3378021,114.1581547,15,3458,1083,4541,"(22.3378021, 114.1581547)",7
22.3378021,114.1581547,16,1913,896,2809,"(22.3378021, 114.1581547)",7
22.3378021,114.1581547,17,773,1087,1860,"(22.3378021, 114.1581547)",7
22.3378021,114.1581547,18,2004,1701,3705,"(22.3378021, 114.1581547)",7
22.3378021,114.1581547,19,1368,1861,3229,"(22.3378021, 114.1581547)",7
22.3378021,114.1581547,20,490,703,1193,"(22.3378021, 114.1581547)",7
22.3378021,114.1581547,21,1194,953,2147,"(22.3378021, 114.1581547)",7
22.3378021,114.1581547,22,1584,650,2234,"(22.3378021, 114.1581547)",7
22.3378021,114.1581547,23,1006,1817,2823,"(22.3378021, 114.1581547)",7
22.3232465,114.2046191,0,1403,415,1818,"(22.3232465, 114.2046191)",8
22.3232465,114.2046191,1,0,1090,1090,"(22.3232465, 114.2046191)",8
22.3232465,114.2046191,2,0,553,553,"(22.3232465, 114.2046191)",8
22.3232465,114.2046191,3,0,0,0,"(22.3232465, 114.2046191)",8
22.3232465,114.2046191,4,449,404,853,"(22.3232465, 114.2046191)",8
22.3232465,114.2046191,5,375,180,555,"(22.3232465, 114.2046191)",8
22.3232465,114.2046191,6,0,433,433,"(22.3232465, 114.2046191)",8
